GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionScheduleServiceImpl,0,267,0,2,0,68,0,19,0,18
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionRouteServiceImpl,0,285,0,0,0,76,0,20,0,20
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,DistributionProgramServiceImpl,0,361,0,4,0,85,0,18,0,16
structure-microservice,pe.edu.vallegrande.ms_distribution.application.services.impl,FareServiceImpl,7,588,0,38,0,128,1,64,1,45
